movie_title,imdb_score,duration,color,title_year,Genre_1,language,country,gross,budget,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,movie_facebook_likes,ProfitTurnover,AdjustedGross,AdjustedBudget,Language,Country,TotalFacebooklikes,TitleLength,Generation
Seven Pounds ,7.7,123,Color,2008,Drama,English,USA,69951824,55000000,125,835,10000,3000,26000,0.2718513454545455,69.951824,55,English,USA,39960,13,Boomletes
Bullet to the Head ,5.7,92,Color,2012,Action,English,USA,9483821,55000000,394,565,13000,11000,10000,-0.8275668909090909,9.483821,55,English,USA,34959,19,Boomletes
The Godfather: Part III ,7.6,170,Color,1990,Crime,English,USA,66676062,54000000,0,889,14000,1000,0,0.2347418888888889,66.676062,54,English,USA,15889,24,Millenium
Elizabethtown ,6.4,123,Color,2005,Comedy,English,USA,26838389,57000000,488,2000,5000,4000,0,-0.5291510701754386,26.838389,57,English,USA,11488,14,Boomletes
"You, Me and Dupree ",5.6,110,Color,2006,Comedy,English,USA,75604320,54000000,94,240,277,245,0,0.40008,75.60432,54,English,USA,856,19,Boomletes
Superman II ,6.8,116,Color,1980,Action,English,USA,108200000,54000000,44,420,593,467,0,1.0037037037037038,108.2,54,English,USA,1524,12,Generation X
Gigli ,2.4,121,Color,2003,Comedy,English,USA,5660084,54000000,102,43,117,62,2000,-0.8951836296296296,5.660084,54,English,USA,2324,6,Boomletes
All the King's Men ,6.2,128,Black and White,2006,Drama,English,Germany,7221458,55000000,234,581,14000,12000,0,-0.8687007636363636,7.221458,55,English,Non-US,26815,19,Boomletes
Shaft ,5.9,99,Color,2000,Action,English,Germany,70327868,46000000,309,577,23000,1000,0,0.5288666956521739,70.327868,46,English,Non-US,24886,6,Millenium
Anastasia ,7.1,94,Color,1997,Adventure,English,USA,58297830,50000000,383,753,4000,808,0,0.1659566,58.29783,50,English,USA,5944,10,Millenium
Moulin Rouge! ,7.6,127,Black and White,2001,Drama,English,USA,57386369,52500000,1000,653,1000,691,10000,0.09307369523809524,57.386369,52.5,English,USA,13344,14,Boomletes
Domestic Disturbance ,5.5,89,Color,2001,Crime,English,USA,45207112,53000000,17,303,12000,708,361,-0.14703562264150943,45.207112,53,English,USA,13389,21,Boomletes
Black Mass ,7,123,Color,2015,Biography,English,USA,62563543,53000000,108,3000,40000,19000,44000,0.1804442075471698,62.563543,53,English,USA,106108,11,Boomletes
Flags of Our Fathers ,7.1,135,Color,2006,Drama,English,USA,33574332,90000000,16000,310,23000,638,0,-0.6269518666666667,33.574332,90,English,USA,39948,21,Boomletes
Law Abiding Citizen ,7.4,118,Color,2009,Crime,English,USA,73343413,50000000,473,963,18000,1000,21000,0.46686826,73.343413,50,English,USA,41436,20,Boomletes
Grindhouse ,7.6,189,Color,2007,Action,English,USA,25031037,53000000,0,1000,16000,3000,0,-0.527716283018868,25.031037,53,English,USA,20000,11,Boomletes
Beloved ,5.9,172,Color,1998,Drama,English,USA,22843047,55000000,438,466,852,637,853,-0.5846718727272727,22.843047,55,English,USA,3246,8,Millenium
Lucky You ,5.9,124,Color,2007,Drama,English,USA,5755286,55000000,161,681,21000,3000,672,-0.8953584363636363,5.755286,55,English,USA,25514,10,Boomletes
Catch Me If You Can ,8,141,Color,2002,Biography,English,USA,164435221,52000000,14000,3000,29000,15000,15000,2.1622157884615385,164.435221,52,English,USA,76000,20,Boomletes
Zero Dark Thirty ,7.4,157,Color,2012,Drama,English,USA,95720716,40000000,0,304,1000,1000,39000,1.3930179,95.720716,40,English,USA,41304,17,Boomletes
The Break-Up ,5.8,106,Color,2006,Comedy,English,USA,118683135,52000000,235,931,4000,957,0,1.2823679807692308,118.683135,52,English,USA,6123,13,Boomletes
Mamma Mia! ,6.3,108,Color,2008,Comedy,English,USA,143704210,52000000,58,838,14000,11000,10000,1.7635425,143.70421,52,English,USA,35896,11,Boomletes
Valentine's Day ,5.7,125,Color,2010,Comedy,English,USA,110476776,52000000,0,11000,14000,12000,9000,1.1245533846153846,110.476776,52,English,USA,46000,16,Boomletes
The Dukes of Hazzard ,5.1,107,Color,2005,Action,English,USA,80270227,50000000,422,379,631,534,0,0.60540454,80.270227,50,English,USA,1966,21,Boomletes
The Thin Red Line ,7.6,215,Color,1998,Drama,English,USA,36385763,52000000,0,463,648,568,0,-0.30027378846153846,36.385763,52,English,USA,1679,18,Millenium
The Change-Up ,6.4,118,Color,2011,Comedy,English,USA,37035845,52000000,71,634,16000,10000,13000,-0.28777221153846155,37.035845,52,English,USA,39705,14,Boomletes
Man on the Moon ,7.4,118,Color,1999,Biography,English,UK,34580635,52000000,869,21,134,27,0,-0.3349877884615385,34.580635,52,English,Non-US,1051,16,Millenium
Casino ,8.2,178,Color,1995,Biography,English,USA,42438300,52000000,17000,574,22000,721,11000,-0.18387884615384614,42.4383,52,English,USA,51295,7,Millenium
From Paris with Love ,6.5,92,Color,2010,Action,English,France,23324666,52000000,180,75,211,135,0,-0.5514487307692307,23.324666,52,English,Non-US,601,21,Boomletes
Bulletproof Monk ,5.5,104,Color,2003,Action,English,USA,23020488,52000000,13,343,961,691,846,-0.5572983076923077,23.020488,52,English,USA,2854,17,Boomletes
"Me, Myself & Irene ",6.5,116,Color,2000,Comedy,English,USA,90567722,51000000,101,79,889,624,0,0.7758376862745098,90.567722,51,English,USA,1693,19,Millenium
Barnyard ,5.6,90,Color,2006,Animation,English,Germany,72601713,51000000,176,523,677,560,605,0.423563,72.601713,51,English,Non-US,2541,9,Boomletes
The Twilight Saga: New Moon ,4.6,130,Color,2009,Adventure,English,USA,296623634,50000000,129,12000,21000,17000,13000,4.93247268,296.623634,50,English,USA,63129,28,Boomletes
Shrek ,7.9,90,Color,2001,Adventure,English,USA,267652016,60000000,80,21,145,50,0,3.4608669333333335,267.652016,60,English,USA,296,6,Boomletes
The Adjustment Bureau ,7.1,106,Color,2011,Romance,English,USA,62453315,50200000,53,593,13000,963,36000,0.24408994023904382,62.453315,50.2,English,USA,50609,22,Boomletes
Robin Hood: Prince of Thieves ,6.9,155,Color,1991,Action,English,USA,165500000,48000000,58,720,25000,11000,0,2.4479166666666665,165.5,48,English,USA,36778,30,Millenium
Jerry Maguire ,7.3,139,Color,1996,Comedy,English,USA,153620822,50000000,488,597,10000,743,0,2.07241644,153.620822,50,English,USA,11828,14,Millenium
Ted ,7,112,Color,2012,Comedy,English,USA,218628680,50000000,3000,1000,15000,3000,74000,3.3725736,218.62868,50,English,USA,96000,4,Boomletes
As Good as It Gets ,7.7,139,Color,1997,Comedy,English,USA,147637474,50000000,274,285,625,440,11000,1.95274948,147.637474,50,English,USA,12624,19,Millenium
Patch Adams ,6.7,115,Color,1998,Biography,English,USA,135014968,50000000,293,878,49000,22000,0,1.70029936,135.014968,50,English,USA,72171,12,Millenium
Anchorman 2: The Legend Continues ,6.3,143,Color,2013,Comedy,English,USA,2175312,50000000,285,7000,11000,8000,41000,-0.95649376,2.175312,50,English,USA,67285,34,Boomletes
Mr. Deeds ,5.8,96,Color,2002,Comedy,English,USA,126203320,50000000,65,828,12000,11000,0,1.5240664,126.20332,50,English,USA,23893,10,Boomletes
Super 8 ,7.1,112,Color,2011,Mystery,English,USA,126975169,50000000,14000,417,1000,560,37000,1.53950338,126.975169,50,English,USA,52977,8,Boomletes
Erin Brockovich ,7.3,131,Color,2000,Biography,English,USA,125548685,52000000,0,658,8000,883,0,1.4143977884615384,125.548685,52,English,USA,9541,16,Millenium
How to Lose a Guy in 10 Days ,6.4,116,Color,2003,Comedy,English,USA,105807520,50000000,80,651,11000,1000,0,1.1161504,105.80752,50,English,USA,12731,29,Boomletes
22 Jump Street ,7.1,112,Color,2014,Action,English,USA,191616238,50000000,97,584,17000,920,24000,2.83232476,191.616238,50,English,USA,42601,15,Boomletes
Interview with the Vampire: The Vampire Chronicles ,7.6,123,Color,1994,Drama,English,USA,105264608,60000000,277,4000,11000,10000,11000,0.7544101333333333,105.264608,60,English,USA,36277,51,Millenium
Yes Man ,6.8,104,Color,2008,Comedy,English,USA,97680195,70000000,235,1000,14000,11000,0,0.39543135714285715,97.680195,70,English,USA,26235,8,Boomletes
Central Intelligence ,6.6,107,Color,2016,Action,English,USA,126088877,50000000,43,569,12000,919,10000,1.52177754,126.088877,50,English,USA,23531,21,Boomletes
Stepmom ,6.7,124,Color,1998,Comedy,English,USA,91030827,50000000,0,701,8000,818,0,0.82061654,91.030827,50,English,USA,9519,8,Millenium
Daddy's Home ,6.1,96,Color,2015,Comedy,English,USA,150315155,50000000,51,322,8000,2000,13000,2.0063031,150.315155,50,English,USA,23373,13,Boomletes
Into the Woods ,6,125,Color,2014,Adventure,English,USA,127997349,50000000,252,10000,40000,11000,90000,1.55994698,127.997349,50,English,USA,151252,15,Boomletes
Inside Man ,7.6,129,Color,2006,Crime,English,USA,88504640,45000000,0,277,18000,412,0,0.9667697777777777,88.50464,45,English,USA,18689,11,Boomletes
Payback ,7.1,90,Color,1999,Action,English,USA,81517441,50000000,241,416,1000,495,0,0.63034882,81.517441,50,English,USA,2152,8,Millenium
Congo ,5,109,Color,1995,Action,English,USA,81022333,50000000,155,293,426,387,0,0.62044666,81.022333,50,English,USA,1261,6,Millenium
Knowing ,6.2,121,Color,2009,Drama,English,USA,79948113,50000000,295,329,12000,748,0,0.59896226,79.948113,50,English,USA,13372,8,Boomletes
Failure to Launch ,5.6,95,Color,2006,Comedy,English,USA,88658172,50000000,9,11000,14000,11000,2000,0.77316344,88.658172,50,English,USA,38009,18,Boomletes
"Crazy, Stupid, Love. ",7.4,118,Color,2011,Comedy,English,USA,84244877,50000000,43,7000,33000,15000,44000,0.68489754,84.244877,50,English,USA,99043,21,Boomletes
Garfield ,5,80,Color,2004,Animation,English,USA,75367693,35000000,12,58,13000,258,795,1.1533626571428572,75.367693,35,English,USA,14123,9,Boomletes
Christmas with the Kranks ,5.2,99,Color,2004,Comedy,English,USA,73701902,60000000,148,660,2000,843,0,0.22836503333333333,73.701902,60,English,USA,3651,26,Boomletes
Moneyball ,7.6,133,Color,2011,Biography,English,USA,75605492,50000000,152,11000,22000,18000,27000,0.51210984,75.605492,50,English,USA,78152,10,Boomletes
Outbreak ,6.6,127,Color,1995,Action,English,USA,67823573,50000000,249,808,18000,11000,0,0.35647146,67.823573,50,English,USA,30057,9,Millenium
Non-Stop ,7,106,Color,2014,Action,English,UK,91439400,50000000,174,660,14000,664,24000,0.828788,91.4394,50,English,Non-US,39498,9,Boomletes
Race to Witch Mountain ,5.7,98,Color,2009,Action,English,USA,67128202,65000000,99,433,12000,536,0,0.03274156923076923,67.128202,65,English,USA,13068,23,Boomletes
V for Vendetta ,8.2,132,Color,2005,Action,English,USA,70496802,54000000,160,443,20000,979,48000,0.3054963333333333,70.496802,54,English,USA,69582,15,Boomletes
Shanghai Knights ,6.2,114,Color,2003,Action,English,USA,60470220,50000000,71,55,154,131,955,0.2094044,60.47022,50,English,USA,1366,17,Boomletes
Curious George ,6.6,78,Color,2006,Adventure,English,USA,58336565,50000000,5,1000,8000,2000,624,0.1667313,58.336565,50,English,USA,11629,15,Boomletes
Herbie Fully Loaded ,4.7,101,Color,2005,Adventure,English,USA,66002004,50000000,23,541,660,651,1000,0.32004008,66.002004,50,English,USA,2875,20,Boomletes
Don't Say a Word ,6.3,113,Color,2001,Crime,English,USA,54997476,50000000,39,477,1000,912,970,0.09994952,54.997476,50,English,USA,3398,17,Boomletes
Hansel & Gretel: Witch Hunters ,6.1,98,Color,2013,Action,English,Germany,55682070,50000000,75,467,10000,520,45000,0.1136414,55.68207,50,English,Non-US,56062,31,Boomletes
Unfaithful ,6.7,124,Color,2002,Drama,English,USA,52752475,50000000,213,372,838,593,0,0.0550495,52.752475,50,English,USA,2016,11,Boomletes
I Am Number Four ,6.1,109,Color,2011,Action,English,USA,55092830,60000000,154,144,15000,348,27000,-0.08178616666666666,55.09283,60,English,USA,42646,17,Boomletes
Syriana ,7,128,Color,2005,Drama,English,USA,50815288,50000000,79,414,13000,903,0,0.01630576,50.815288,50,English,USA,14396,8,Boomletes
13 Hours ,7.4,144,Color,2016,Action,English,USA,52822418,50000000,0,681,769,726,44000,0.05644836,52.822418,50,English,USA,46176,9,Boomletes
The Book of Life ,7.3,95,Color,2014,Adventure,English,USA,50150619,50000000,34,679,17000,995,18000,0.00301238,50.150619,50,English,USA,36708,17,Boomletes
Firewall ,5.8,105,Color,2006,Crime,English,USA,48745150,50000000,12,935,87000,11000,773,-0.025097,48.74515,50,English,USA,99720,9,Boomletes
Absolute Power ,6.7,121,Color,1997,Action,English,USA,50007168,50000000,16000,826,16000,1000,1000,1.4336e-4,50.007168,50,English,USA,34826,15,Millenium
G.I. Jane ,5.8,125,Color,1997,Action,English,USA,48154732,50000000,0,957,10000,2000,2000,-0.03690536,48.154732,50,English,USA,14957,10,Millenium
The Game ,7.8,129,Color,1997,Drama,English,USA,48265581,50000000,21000,283,495,294,25000,-0.03468838,48.265581,50,English,USA,47072,9,Millenium
Silent Hill ,6.6,132,Color,2006,Adventure,English,Canada,46982632,50000000,50,368,992,495,0,-0.06034736,46.982632,50,English,Non-US,1905,12,Boomletes
The Replacements ,6.5,118,Color,2000,Comedy,English,USA,44737059,50000000,41,585,18000,4000,0,-0.10525882,44.737059,50,English,USA,22626,17,Millenium
American Reunion ,6.7,113,Color,2012,Comedy,English,USA,56724080,50000000,22,1000,3000,1000,39000,0.1344816,56.72408,50,English,USA,44022,17,Boomletes
The Negotiator ,7.3,140,Color,1998,Action,English,Germany,44484065,50000000,473,294,18000,822,3000,-0.1103187,44.484065,50,English,Non-US,22589,15,Millenium
Into the Storm ,5.8,89,Color,2014,Action,English,USA,47553512,50000000,77,159,490,298,15000,-0.04892976,47.553512,50,English,USA,16024,15,Boomletes
Beverly Hills Cop III ,5.5,104,Color,1994,Action,English,USA,42610000,55000000,644,174,437,289,669,-0.22527272727272726,42.61,55,English,USA,2213,22,Millenium
Gremlins 2: The New Batch ,6.3,106,Color,1990,Comedy,English,USA,41482207,50000000,287,767,16000,823,0,-0.17035586,41.482207,50,English,USA,17877,26,Millenium
The Judge ,7.4,141,Color,2014,Crime,English,USA,47105085,50000000,71,3000,21000,3000,47000,-0.0578983,47.105085,50,English,USA,74071,10,Boomletes
The Peacemaker ,5.9,124,Color,1997,Action,English,USA,41256277,50000000,75,258,294,273,0,-0.17487446,41.256277,50,English,USA,900,15,Millenium
Resident Evil: Apocalypse ,6.2,98,Color,2004,Action,English,Germany,50740078,45000000,38,706,14000,919,0,0.1275572888888889,50.740078,45,English,Non-US,15663,26,Boomletes
Bridget Jones: The Edge of Reason ,5.9,108,Color,2004,Comedy,English,UK,40203020,40000000,17,186,14000,1000,0,0.0050755,40.20302,40,English,Non-US,15203,34,Boomletes
Out of Time ,6.5,114,Color,2003,Crime,English,USA,40905277,50000000,73,323,18000,886,1000,-0.18189446,40.905277,50,English,USA,20282,12,Boomletes
On Deadly Ground ,4.4,101,Color,1994,Action,English,USA,38590500,50000000,0,158,854,643,812,-0.22819,38.5905,50,English,USA,2467,17,Millenium
The Adventures of Sharkboy and Lavagirl 3-D ,3.5,93,Color,2005,Action,English,USA,39177541,50000000,0,717,12000,722,0,-0.21644918,39.177541,50,English,USA,13439,44,Boomletes
The Beach ,6.6,119,Color,2000,Adventure,English,USA,39778599,50000000,0,39,29000,414,0,-0.20442802,39.778599,50,English,USA,29453,10,Millenium
Raising Helen ,6,119,Color,2004,Comedy,English,USA,37486138,50000000,0,434,627,508,718,-0.25027724,37.486138,50,English,USA,2287,14,Boomletes
Ninja Assassin ,6.4,99,Color,2009,Action,English,USA,38105077,40000000,160,72,330,119,0,-0.047373075,38.105077,40,English,USA,681,15,Boomletes
For Love of the Game ,6.5,137,Color,1999,Drama,English,USA,35168395,50000000,0,432,24000,743,0,-0.2966321,35.168395,50,English,USA,25175,21,Millenium
Striptease ,4.3,117,Color,1996,Comedy,English,USA,32800000,40000000,31,210,2000,472,877,-0.18,32.8,40,English,USA,3590,11,Millenium
Marmaduke ,4.2,87,Color,2010,Comedy,English,USA,33643461,50000000,9,1000,15000,2000,0,-0.32713078,33.643461,50,English,USA,18009,10,Boomletes
Hereafter ,6.5,129,Color,2010,Drama,English,USA,32741596,50000000,16000,447,13000,563,16000,-0.34516808,32.741596,50,English,USA,46010,10,Boomletes
Murder by Numbers ,6.1,115,Color,2002,Crime,English,USA,31874869,50000000,58,401,33000,455,0,-0.36250262,31.874869,50,English,USA,33914,18,Boomletes
Assassins ,6.3,132,Black and White,1995,Action,English,France,30306268,50000000,503,282,45000,13000,0,-0.39387464,30.306268,50,English,Non-US,58785,10,Millenium
Hannibal Rising ,6.2,131,Color,2007,Crime,English,UK,27667947,50000000,73,163,879,184,3000,-0.44664106,27.667947,50,English,Non-US,4299,16,Boomletes
The Story of Us ,5.9,95,Color,1999,Comedy,English,USA,27067160,50000000,0,323,13000,559,0,-0.4586568,27.06716,50,English,USA,13882,16,Millenium
The Host ,5.9,125,Color,2013,Action,English,USA,26616999,40000000,487,201,430,329,43000,-0.334575025,26.616999,40,English,USA,44447,9,Boomletes
Basic ,6.5,98,Color,2003,Action,English,Germany,26536120,50000000,323,511,933,631,0,-0.4692776,26.53612,50,English,Non-US,2398,6,Boomletes
Blood Work ,6.4,110,Color,2002,Action,English,USA,26199517,50000000,16000,581,16000,1000,705,-0.47600966,26.199517,50,English,USA,34286,11,Boomletes
The International ,6.5,118,Color,2009,Action,English,USA,25450527,50000000,670,294,6000,450,0,-0.49098946,25.450527,50,English,USA,7414,18,Boomletes
Escape from L.A. ,5.7,101,Color,1996,Action,English,USA,25407250,50000000,0,764,12000,898,0,-0.491855,25.40725,50,English,USA,13662,17,Millenium
The Iron Giant ,8,90,Color,1999,Action,English,USA,23159305,70000000,663,521,14000,631,0,-0.6691527857142857,23.159305,70,English,USA,15815,15,Millenium
The Life Aquatic with Steve Zissou ,7.3,119,Color,2004,Adventure,English,USA,24006726,50000000,0,639,13000,1000,0,-0.51986548,24.006726,50,English,USA,14639,35,Boomletes
Free State of Jones ,6.7,139,Color,2016,Action,English,USA,20389967,50000000,378,303,11000,552,10000,-0.59220066,20.389967,50,English,USA,22233,20,Boomletes
The Life of David Gale ,7.5,130,Color,2003,Crime,English,USA,19593740,50000000,317,256,18000,14000,0,-0.6081252,19.59374,50,English,USA,32573,23,Boomletes
Man of the House ,5.4,100,Color,2005,Action,English,USA,19118247,40000000,65,730,1000,923,779,-0.522043825,19.118247,40,English,USA,3497,17,Boomletes
Run All Night ,6.6,114,Color,2015,Action,English,USA,26442251,50000000,174,655,14000,988,15000,-0.47115498,26.442251,50,English,USA,30817,14,Boomletes
Eastern Promises ,7.7,96,Color,2007,Crime,English,USA,17114882,25000000,0,509,10000,6000,0,-0.31540472,17.114882,25,English,USA,16509,17,Boomletes
Into the Blue ,5.8,110,Color,2005,Action,English,USA,18472363,50000000,134,795,23000,1000,0,-0.63055274,18.472363,50,English,USA,24929,14,Boomletes
The Messenger: The Story of Joan of Arc ,6.4,158,Color,1999,Adventure,English,France,14131298,390000000,0,15,51,40,0,-0.96376590256410255,14.131298,390,English,Non-US,106,40,Millenium
Your Highness ,5.6,102,Color,2011,Adventure,English,USA,21557240,49900000,234,11000,20000,11000,18000,-0.5679911823647295,21.55724,49.9,English,USA,60234,14,Boomletes
Dream House ,6,84,Color,2011,Drama,English,USA,21283440,55000000,260,692,6000,694,0,-0.6130283636363636,21.28344,55,English,USA,7646,12,Boomletes
Mad City ,6.2,115,Color,1997,Crime,English,USA,10556196,50000000,333,317,972,713,697,-0.78887608,10.556196,50,English,USA,3032,9,Millenium
Baby's Day Out ,5.9,99,Color,1994,Adventure,English,USA,16671505,50000000,32,479,1000,619,0,-0.6665699,16.671505,50,English,USA,2130,15,Millenium
The Scarlet Letter ,5.1,135,Color,1995,Drama,English,USA,10400000,50000000,596,2000,10000,3000,943,-0.792,10.4,50,English,USA,16539,19,Millenium
Fair Game ,6.8,108,Color,2010,Biography,English,USA,9528092,22000000,218,405,6000,3000,9000,-0.5669049090909091,9.528092,22,English,USA,18623,10,Boomletes
Domino ,6,127,Color,2005,Action,English,France,10137232,50000000,12000,897,984,940,0,-0.79725536,10.137232,50,English,Non-US,14821,7,Boomletes
Jade ,5.1,107,Color,1995,Crime,English,USA,9795017,50000000,607,602,2000,979,422,-0.80409966,9.795017,50,English,USA,4610,5,Millenium
Gamer ,5.8,95,Color,2009,Action,English,USA,20488579,50000000,83,1000,18000,8000,0,-0.59022842,20.488579,50,English,USA,27083,6,Boomletes
Beautiful Creatures ,6.2,124,Color,2013,Drama,English,USA,19445217,60000000,98,592,1000,852,14000,-0.67591305,19.445217,60,English,USA,16542,20,Boomletes
Death to Smoochy ,6.4,109,Color,2002,Comedy,English,UK,8355815,55000000,0,809,49000,811,0,-0.8480760909090909,8.355815,55,English,Non-US,50620,17,Boomletes
Zoolander 2 ,4.8,102,Color,2016,Comedy,English,USA,28837115,50000000,0,1000,14000,8000,28000,-0.4232577,28.837115,50,English,USA,51000,12,Boomletes
The Big Bounce ,4.9,88,Color,2004,Comedy,English,USA,6471394,50000000,5,338,11000,387,288,-0.87057212,6.471394,50,English,USA,12018,15,Boomletes
What Planet Are You From? ,5.6,87,Color,2000,Comedy,English,USA,6291602,50000000,0,591,2000,602,255,-0.87416796,6.291602,50,English,USA,3448,26,Millenium
Drive Angry ,5.5,104,Color,2011,Action,English,USA,10706786,50000000,71,982,12000,2000,15000,-0.78586428,10.706786,50,English,USA,30053,12,Boomletes
Street Fighter: The Legend of Chun-Li ,3.7,96,Color,2009,Action,English,Canada,8742261,18000000,43,77,841,342,0,-0.5143188333333333,8.742261,18,English,Non-US,1303,38,Boomletes
The One ,5.9,85,Color,2001,Action,English,USA,43905746,49000000,70,848,26000,5000,0,-0.10396436734693877,43.905746,49,English,USA,31918,8,Boomletes
The Adventures of Ford Fairlane ,6.3,104,Color,1990,Action,English,USA,21413502,40000000,212,380,879,560,2000,-0.46466245,21.413502,40,English,USA,4031,32,Millenium
Traffic ,7.6,190,Color,2000,Crime,English,USA,124107476,48000000,0,215,599,399,0,1.5855724166666667,124.107476,48,English,USA,1213,8,Millenium
Indiana Jones and the Last Crusade ,8.3,127,Color,1989,Action,English,USA,197171806,48000000,14000,440,11000,844,0,3.107745958333333,197.171806,48,English,USA,26284,35,Millenium
Chappie ,6.9,120,Color,2015,Action,English,USA,31569268,49000000,662,502,20000,2000,67000,-0.35572922448979594,31.569268,49,English,USA,90164,8,Boomletes
The Bone Collector ,6.7,118,Color,1999,Crime,English,USA,66488090,48000000,176,308,18000,11000,0,0.38516854166666664,66.48809,48,English,USA,29484,19,Millenium
Panic Room ,6.8,112,Color,2002,Crime,English,USA,95308367,48000000,21000,237,17000,324,0,0.9855909791666667,95.308367,48,English,USA,38561,11,Boomletes
Three Kings ,7.1,114,Color,1999,Action,English,USA,60652036,48000000,737,393,2000,490,3000,0.26358408333333333,60.652036,48,English,USA,6620,12,Millenium
Child 44 ,6.4,137,Color,2015,Crime,English,Czech Republic,1206135,50000000,79,194,27000,254,18000,-0.9758773,1.206135,50,English,Non-US,45527,9,Boomletes
Rat Race ,6.4,112,Color,2001,Adventure,English,Canada,56607223,48000000,109,261,779,629,0,0.17931714583333333,56.607223,48,English,Non-US,1778,9,Boomletes
K-PAX ,7.4,120,Color,2001,Drama,English,USA,50173190,48000000,34,1000,18000,12000,0,0.04527479166666667,50.17319,48,English,USA,31034,6,Boomletes
Kate & Leopold ,6.4,123,Color,2001,Comedy,English,USA,47095453,48000000,446,821,20000,1000,0,-0.018844729166666668,47.095453,48,English,USA,22267,15,Boomletes
Bedazzled ,6,93,Color,2000,Comedy,English,USA,37879996,48000000,11000,484,3000,575,0,-0.21083341666666666,37.879996,48,English,USA,15059,10,Millenium
The Cotton Club ,6.5,123,Color,1984,Crime,English,USA,25900000,58000000,0,886,12000,5000,828,-0.553448275862069,25.9,58,English,USA,18714,16,Millenium
3:10 to Yuma ,7.8,122,Color,2007,Adventure,English,USA,53574088,55000000,446,600,23000,8000,0,-0.02592567272727273,53.574088,55,English,USA,32046,13,Boomletes
Taken 3 ,6,115,Color,2014,Action,English,France,89253340,48000000,118,482,14000,794,38000,0.8594445833333333,89.25334,48,English,Non-US,53394,8,Boomletes
Out of Sight ,7,123,Color,1998,Crime,English,USA,37339525,48000000,0,23,3000,745,0,-0.22209322916666666,37.339525,48,English,USA,3768,13,Millenium
The Cable Guy ,6,96,Color,1996,Comedy,English,USA,60154431,47000000,0,302,2000,1000,0,0.27988151063829786,60.154431,47,English,USA,3302,14,Millenium
Dick Tracy ,6.1,105,Color,1990,Action,English,USA,103738726,100000000,631,327,678,631,2000,0.03738726,103.738726,100,English,USA,4267,11,Millenium
The Thomas Crown Affair ,6.8,113,Color,1999,Crime,English,USA,69304264,48000000,323,835,1000,977,0,0.44383883333333335,69.304264,48,English,USA,3135,24,Millenium
Riding in Cars with Boys ,6.4,132,Color,2001,Biography,English,USA,29781453,48000000,545,807,919,811,0,-0.3795530625,29.781453,48,English,USA,3082,25,Boomletes
Happily N'Ever After ,4.5,75,Color,2006,Adventure,English,USA,15519841,47000000,0,677,4000,769,261,-0.6697906170212766,15.519841,47,English,USA,5707,21,Boomletes
Mary Reilly ,5.8,108,Color,1996,Drama,English,USA,5600000,47000000,350,77,8000,115,616,-0.8808510638297873,5.6,47,English,USA,9158,12,Millenium
My Best Friend's Wedding ,6.3,105,Color,1997,Comedy,English,USA,126805112,46000000,29,692,8000,1000,0,1.7566328695652174,126.805112,46,English,USA,9721,25,Millenium
America's Sweethearts ,5.7,102,Color,2001,Comedy,English,USA,93607673,48000000,148,135,8000,973,881,0.9501598541666667,93.607673,48,English,USA,10137,22,Boomletes
Insomnia ,7.2,118,Color,2002,Drama,English,USA,67263182,46000000,22000,319,14000,509,0,0.4622430869565217,67.263182,46,English,USA,36828,9,Boomletes
Star Trek: First Contact ,7.6,111,Color,1996,Action,English,USA,92001027,45000000,906,906,1000,1000,3000,1.0444672666666666,92.001027,45,English,USA,6812,25,Millenium
Jonah Hex ,4.7,81,Color,2010,Action,English,USA,10539414,47000000,39,364,13000,541,0,-0.7757571489361702,10.539414,47,English,USA,13944,10,Boomletes
Courage Under Fire ,6.6,116,Color,1996,Action,English,USA,58918501,46000000,380,826,18000,13000,975,0.28083697826086956,58.918501,46,English,USA,33181,19,Millenium
Liar Liar ,6.8,86,Color,1997,Comedy,English,USA,181395380,45000000,293,255,509,418,0,3.0310084444444443,181.39538,45,English,USA,1475,10,Millenium
The Infiltrator ,7.3,127,Color,2016,Biography,English,UK,14946229,25000000,65,345,788,423,0,-0.40215084,14.946229,25,English,Non-US,1621,16,Boomletes
The Flintstones ,4.8,91,Color,1994,Comedy,English,USA,130512915,45000000,32,628,924,664,0,1.900287,130.512915,45,English,USA,2248,16,Millenium
Taken 2 ,6.3,98,Color,2012,Action,English,France,139852971,45000000,118,558,14000,935,63000,2.1078438,139.852971,45,English,Non-US,78611,8,Boomletes
Scary Movie 3 ,5.5,84,Color,2003,Comedy,English,USA,110000082,48000000,119,750,807,780,0,1.291668375,110.000082,48,English,USA,2456,14,Boomletes
Miss Congeniality ,6.2,109,Color,2000,Action,English,USA,106807667,45000000,80,213,545,337,0,1.373503711111111,106.807667,45,English,USA,1175,18,Millenium
Journey to the Center of the Earth ,5.8,93,Color,2008,Action,English,USA,101702060,45000000,40,311,14000,3000,0,1.2600457777777778,101.70206,45,English,USA,17351,35,Boomletes
The Princess Diaries 2: Royal Engagement ,5.7,113,Color,2004,Comedy,English,USA,95149435,40000000,0,995,11000,1000,1000,1.378735875,95.149435,40,English,USA,13995,41,Boomletes
